llparte,CodAcc2,aaaa,mes,dia,dia_mes,hora,horarecode,Ncod_canton,Ncod_distrito,NX_WGS84,NY_WGS84,lugar_hechos,Total_Involucrados,dano_ileso_sum,dano_leve_sum,dano_grave_sum,dano_muerto_sum
2014-43900073,Colisión con motocicleta,2014,Marzo,Miércoles,5,8,06:00-11:59,Heredia,Ulloa,-84.15908,9.982360001,Heredia-Heredia-San Francisco SEMAFORO REAL CARIARI FRENTE A  KIA MOTOR,2,1,1,0,0
2014-43900074,Colisión con motocicleta,2014,Marzo,Jueves,6,8,06:00-11:59,Heredia,Ulloa,-84.11355,9.967949998,Heredia-Heredia-Ulloa CRUCE DE SEMAFORO DE LA VALENCIA,2,0,2,0,0
2014-43900195,Colisión con motocicleta,2014,Julio,Miércoles,2,19,18:00-23:59,Heredia,San Francisco,-84.13725982,9.996979026,Heredia-Heredia-San Francisco RITA 3 DEL QUIROPRACTICO 150 ESTE,2,1,1,0,0
2014-43900334,Colisión con motocicleta,2014,Diciembre,Martes,9,17,12:00-17:59,Heredia,Ulloa,-84.16015,9.979844999,Heredia-Heredia-Ulloa RAMPA DE SALIDA RUTA 1 PUENTE FRANCISCO J OORLICH,2,1,1,0,0
2014-57300002,Colisión con motocicleta,2014,Enero,Martes,7,22,18:00-23:59,Heredia,Heredia,-84.1168,10.00305,Heredia-Heredia-Heredia CALLE  O  AVENIDA 9  DEL COLEGIO VOCACIONAL 75 AL NORTE,2,1,1,0,0
2014-57300024,Colisión con motocicleta,2014,Marzo,Lunes,17,22,18:00-23:59,Heredia,San Francisco,-84.13953333,9.99134667,Heredia-Heredia-San Francisco Santa Cecilia frente a Industria Barbosa,1,0,1,0,0
2014-57300029,Colisión con motocicleta,2014,Marzo,Sábado,29,22,18:00-23:59,Heredia,San Francisco,-84.13905333,9.993208333,Heredia-Heredia-San Francisco Diagonal a Edificio Monte Doble - Optica Visión,1,0,0,1,0
2014-57300060,Colisión con motocicleta,2014,Junio,Viernes,13,5,00:00-05:59,Heredia,Heredia,-84.11846,9.996490002,Heredia-Heredia-Heredia Diagonal a la Esquina Noroeste del Mercado Central,2,1,1,0,0
2014-57300066,Colisión con motocicleta,2014,Agosto,Martes,5,22,18:00-23:59,Heredia,San Francisco,-84.11162333,9.976564999,Heredia-Heredia-San Francisco Frente a Centro Comercial Heredia 2000,2,1,1,0,0
2014-57300071,Colisión con motocicleta,2014,Agosto,Lunes,11,23,18:00-23:59,Heredia,Heredia,-84.11132667,9.990748331,Heredia-Heredia-Heredia De la Antigua Fosforera 100 al Norte diagonal al Rest E,2,1,1,0,0
2014-57300072,Colisión con motocicleta,2014,Agosto,Miércoles,13,23,18:00-23:59,Heredia,Heredia,-84.11424167,9.99835,Heredia-Heredia-Heredia Del Restaurant El Principe 30 metros al Norte,2,1,1,0,0
2014-57300085,Colisión con motocicleta,2014,Setiembre,Martes,16,23,18:00-23:59,Heredia,San Francisco,-84.11338667,9.973058334,Heredia-Heredia-San Francisco Ruta#3 - Cruce Los Lagos diagonal al Liceo Los Lag,2,1,1,0,0
2014-57300090,Colisión con motocicleta,2014,Setiembre,Viernes,26,0,00:00-05:59,Heredia,Ulloa,-84.12692167,9.989758333,Heredia-Heredia-San Francisco Frente al SuperMercado AM-PM,2,1,1,0,0
2014-57300098,Colisión con motocicleta,2014,Octubre,Viernes,10,0,00:00-05:59,Heredia,Heredia,-84.116925,10.000595,Heredia-Heredia-Heredia Diagonal a Panaderia Trigo Miel,3,1,2,0,0
2014-57300111,Colisión con motocicleta,2014,Diciembre,Viernes,19,16,12:00-17:59,Heredia,San Francisco,-84.11322167,9.973135002,Heredia-Heredia-San Francisco Ruta3 Del Cruce Los Lagos 30 metros al Norte,2,1,1,0,0
2014-57300113,Colisión con motocicleta,2014,Diciembre,Sábado,20,23,18:00-23:59,Heredia,San Francisco,-84.12691833,9.994623334,Heredia-Heredia-San Francisco Del Costado Sur del Walmart 100 al Este .,3,1,2,0,0
2014-57400013,Colisión con motocicleta,2014,Abril,Viernes,4,7,06:00-11:59,Heredia,San Francisco,-84.12604837,9.996272861,Heredia-Heredia-Heredia 300MTS ESTE WULMART,2,1,1,0,0
2014-57800037,Colisión con motocicleta,2014,Marzo,Viernes,7,5,00:00-05:59,Heredia,San Francisco,-84.14764833,9.992530004,Heredia-Heredia-San Francisco ENTRADA LA GRAN SAMALIA 100 OESTE LA AURORA,1,0,1,0,0
2014-57800041,Colisión con motocicleta,2014,Marzo,Miércoles,12,22,18:00-23:59,Heredia,Mercedes,-84.12849333,9.999625002,Heredia-Heredia-Mercedes HEREDIA COLEGIO SAMUEL BENVIDES,2,1,1,0,0
2014-57800046,Colisión con motocicleta,2014,Marzo,Viernes,21,22,18:00-23:59,Heredia,Heredia,-84.12261667,9.994318337,Heredia-Heredia-Heredia ESQUINA BAR EL RANCHITO,2,1,1,0,0
2014-57800057,Colisión con motocicleta,2014,Marzo,Sábado,29,3,00:00-05:59,Heredia,San Francisco,-84.11097167,9.978825003,Heredia-Heredia-San Francisco RUTA TRES MABE 100 NORTE,2,1,1,0,0
2014-57800073,Colisión con motocicleta,2014,Julio,Viernes,11,22,18:00-23:59,Heredia,Heredia,-84.11242833,9.995470003,Heredia-Heredia-Heredia COSTADO ESTE ESTACION DE SERVICIO DELTA,1,0,1,0,0
2014-57800099,Colisión con motocicleta,2014,Noviembre,Sábado,8,5,00:00-05:59,Heredia,Mercedes,-84.13597167,9.999368336,Heredia-Heredia-Mercedes MERCEDES SUR IGLESIAS CATÓLICA 100 SUR,2,1,1,0,0
2014-57800129,Colisión con motocicleta,2014,Diciembre,Martes,9,23,18:00-23:59,Heredia,San Francisco,-84.14001167,9.991471663,Heredia-Heredia-San Francisco SANTA CECILIA AM-PM 50 OESTE,2,1,1,0,0
2014-57800134,Colisión con motocicleta,2014,Diciembre,Lunes,15,22,18:00-23:59,Heredia,Heredia,-84.11157167,9.992310002,Heredia-Heredia-Heredia INTERSECCIÓN ENTRE RUTA TRES Y CIRCUBALACION COSTADO NO,3,2,1,0,0
